acoustic_assays,start,end,height,color,fill,y_pos
light_flash,0,60,0.25,#ffd014,white,-0.5
dark_flash,60,60,0.25,#ffd014,#ffd014,-0.5
VSRB,58,68,0.33,#BFBFBF,#BFBFBF,-2
VSR1,1255,1265,0.33,#ffd014,#ffd014,-2
VMR1,1261,1860,0.25,#ffd014,white,-0.5
VSR2,1855,1865,0.33,#CC66FF,#CC66FF,-2
ASR1,3060,3070,0.2,#666666,#666666,-0.5
ASR1,3116,3125,0.2,#666666,#666666,-0.5
ASR1,3177,3187,0.2,#666666,#666666,-0.5
ASR1,3238,3248,0.2,#666666,#666666,-0.5
ASR1,3299,3309,0.2,#666666,#666666,-0.5
ISI1,3073,3113,0.2,#666666,white,-2
ISI1,3128,3174,0.2,#666666,white,-2
ISI1,3190,3235,0.2,#666666,white,-2
ISI1,3251,3300,0.2,#666666,white,-2
IEI1,3310,3360,0.33,black,white,-3.4
ASR2,3365,3375,0.33,black,black,-0.5
ASR2,3421,3431,0.33,black,black,-0.5
ASR2,3482,3492,0.33,black,black,-0.5
ASR2,3543,3553,0.33,black,black,-0.5
ASR2,3604,3614,0.33,black,black,-0.5
ISI2,3378,3418,0.33,black,white,-2
ISI2,3434,3479,0.33,black,white,-2
ISI2,3495,3540,0.33,black,white,-2
IEI2,3615,3665,0.33,black,white,-3.4
ISI2,3556,3601,0.33,black,white,-2
ASHsum,3670,3729,0.33,black,black,-0.5
ASHsum,3789,3848,0.33,black,black,-0.5
ASHsum,3908,3967,0.33,black,black,-0.5
ASHsum,4027,4086,0.33,black,black,-0.5
ASHsum,4146,4205,0.33,black,black,-0.5
ASH1,3670,3729,0.33,black,black,-2
IEI3,4210,4375,0.33,black,white,-3.4
IBI,3729,3789,0.33,black,white,-3.4
IBI,3848,3908,0.33,black,white,-3.4
IBI,3967,4027,0.33,black,white,-3.4
IBI,4086,4146,0.33,black,white,-3.4
ASR3,4385,4395,0.33,black,black,-0.5
ASR3,4441,4451,0.33,black,black,-0.5
ASR3,4502,4512,0.33,black,black,-0.5
ASR3,4563,4573,0.33,black,black,-0.5
ASR3,4624,4634,0.33,black,black,-0.5
ISI3,4398,4438,0.33,black,white,-2
ISI3,4454,4499,0.33,black,white,-2
ISI3,4515,4560,0.33,black,white,-2
ISI3,4576,4621,0.33,black,white,-2
IR light,0,4640,0.05,#CC66FF,#CC66FF,-0.55
