acoustic_assays;start;end;height;color;fill;y_pos
light_flash;0;60;0.25;#ffd014;white;-0.5
dark_flash;60;60;0.25;#ffd014;#ffd014;-0.5
VSRB;60;61;0.33;#BFBFBF;#BFBFBF;-2
VSR1;1260;1261;0.33;#ffd014;#ffd014;-2
VMR1;1261;1860;0.25;#ffd014;white;-0.5
VSR2;1860;1861;0.33;#CC66FF;#CC66FF;-2
ASR1;3060;3061;0.2;#666666;#666666;-0.5
ASR1;3121;3122;0.2;#666666;#666666;-0.5
ASR1;3182;3183;0.2;#666666;#666666;-0.5
ASR1;3243;3244;0.2;#666666;#666666;-0.5
ASR1;3304;3305;0.2;#666666;#666666;-0.5
ISI1;3061;3121;0.2;#666666;white;-2
ISI1;3122;3182;0.2;#666666;white;-2
ISI1;3183;3243;0.2;#666666;white;-2
ISI1;3244;3304;0.2;#666666;white;-2
IEI1;3305;3365;0.33;black;white;-3.4
ASR2;3365;3366;0.33;black;black;-0.5
ASR2;3426;3427;0.33;black;black;-0.5
ASR2;3487;3488;0.33;black;black;-0.5
ASR2;3548;3549;0.33;black;black;-0.5
ASR2;3609;3610;0.33;black;black;-0.5
ISI2;3366;3426;0.33;black;white;-2
ISI2;3427;3487;0.33;black;white;-2
ISI2;3488;3548;0.33;black;white;-2
IEI2;3610;3670;0.33;black;white;-3.4
ISI2;3549;3609;0.33;black;white;-2
IEI3;4205;4385;0.33;black;white;-3.4
IBI;3729;3789;0.33;black;white;-3.4
IBI;3848;3908;0.33;black;white;-3.4
IBI;3967;4027;0.33;black;white;-3.4
IBI;4086;4146;0.33;black;white;-3.4
ASR3;4385;4386;0.33;black;black;-0.5
ASR3;4446;4447;0.33;black;black;-0.5
ASR3;4507;4508;0.33;black;black;-0.5
ASR3;4568;4569;0.33;black;black;-0.5
ASR3;4629;4630;0.33;black;black;-0.5
ISI3;4386;4446;0.33;black;white;-2
ISI3;4447;4507;0.33;black;white;-2
ISI3;4508;4568;0.33;black;white;-2
ISI3;4569;4629;0.33;black;white;-2
IR light;0;4640;0.05;#CC66FF;#CC66FF;-0.55
ASH1;3670;3671;0.33;black;black;-0.5
ASH1;3672;3673;0.33;black;black;-0.5
ASH1;3674;3675;0.33;black;black;-0.5
ASH1;3676;3677;0.33;black;black;-0.5
ASH1;3678;3679;0.33;black;black;-0.5
ASH1;3680;3681;0.33;black;black;-0.5
ASH1;3682;3683;0.33;black;black;-0.5
ASH1;3684;3685;0.33;black;black;-0.5
ASH1;3686;3687;0.33;black;black;-0.5
ASH1;3688;3689;0.33;black;black;-0.5
ASH1;3690;3691;0.33;black;black;-0.5
ASH1;3692;3693;0.33;black;black;-0.5
ASH1;3694;3695;0.33;black;black;-0.5
ASH1;3696;3697;0.33;black;black;-0.5
ASH1;3698;3699;0.33;black;black;-0.5
ASH1;3700;3701;0.33;black;black;-0.5
ASH1;3702;3703;0.33;black;black;-0.5
ASH1;3704;3705;0.33;black;black;-0.5
ASH1;3706;3707;0.33;black;black;-0.5
ASH1;3708;3709;0.33;black;black;-0.5
ASH1;3710;3711;0.33;black;black;-0.5
ASH1;3712;3713;0.33;black;black;-0.5
ASH1;3714;3715;0.33;black;black;-0.5
ASH1;3716;3717;0.33;black;black;-0.5
ASH1;3718;3719;0.33;black;black;-0.5
ASH1;3720;3721;0.33;black;black;-0.5
ASH1;3722;3723;0.33;black;black;-0.5
ASH1;3724;3725;0.33;black;black;-0.5
ASH1;3726;3727;0.33;black;black;-0.5
ASH1;3728;3729;0.33;black;black;-0.5
ASH2;3789;3790;0.33;black;black;-0.5
ASH2;3791;3792;0.33;black;black;-0.5
ASH2;3793;3794;0.33;black;black;-0.5
ASH2;3795;3796;0.33;black;black;-0.5
ASH2;3797;3798;0.33;black;black;-0.5
ASH2;3799;3800;0.33;black;black;-0.5
ASH2;3801;3802;0.33;black;black;-0.5
ASH2;3803;3804;0.33;black;black;-0.5
ASH2;3805;3806;0.33;black;black;-0.5
ASH2;3807;3808;0.33;black;black;-0.5
ASH2;3809;3810;0.33;black;black;-0.5
ASH2;3811;3812;0.33;black;black;-0.5
ASH2;3813;3814;0.33;black;black;-0.5
ASH2;3815;3816;0.33;black;black;-0.5
ASH2;3817;3818;0.33;black;black;-0.5
ASH2;3819;3820;0.33;black;black;-0.5
ASH2;3821;3822;0.33;black;black;-0.5
ASH2;3823;3824;0.33;black;black;-0.5
ASH2;3825;3826;0.33;black;black;-0.5
ASH2;3827;3828;0.33;black;black;-0.5
ASH2;3829;3830;0.33;black;black;-0.5
ASH2;3831;3832;0.33;black;black;-0.5
ASH2;3833;3834;0.33;black;black;-0.5
ASH2;3835;3836;0.33;black;black;-0.5
ASH2;3837;3838;0.33;black;black;-0.5
ASH2;3839;3840;0.33;black;black;-0.5
ASH2;3841;3842;0.33;black;black;-0.5
ASH2;3843;3844;0.33;black;black;-0.5
ASH2;3845;3846;0.33;black;black;-0.5
ASH2;3847;3848;0.33;black;black;-0.5
ASH3;3908;3909;0.33;black;black;-0.5
ASH3;3910;3911;0.33;black;black;-0.5
ASH3;3912;3913;0.33;black;black;-0.5
ASH3;3914;3915;0.33;black;black;-0.5
ASH3;3916;3917;0.33;black;black;-0.5
ASH3;3918;3919;0.33;black;black;-0.5
ASH3;3920;3921;0.33;black;black;-0.5
ASH3;3922;3923;0.33;black;black;-0.5
ASH3;3924;3925;0.33;black;black;-0.5
ASH3;3926;3927;0.33;black;black;-0.5
ASH3;3928;3929;0.33;black;black;-0.5
ASH3;3930;3931;0.33;black;black;-0.5
ASH3;3932;3933;0.33;black;black;-0.5
ASH3;3934;3935;0.33;black;black;-0.5
ASH3;3936;3937;0.33;black;black;-0.5
ASH3;3938;3939;0.33;black;black;-0.5
ASH3;3940;3941;0.33;black;black;-0.5
ASH3;3942;3943;0.33;black;black;-0.5
ASH3;3944;3945;0.33;black;black;-0.5
ASH3;3946;3947;0.33;black;black;-0.5
ASH3;3948;3949;0.33;black;black;-0.5
ASH3;3950;3951;0.33;black;black;-0.5
ASH3;3952;3953;0.33;black;black;-0.5
ASH3;3954;3955;0.33;black;black;-0.5
ASH3;3956;3957;0.33;black;black;-0.5
ASH3;3958;3959;0.33;black;black;-0.5
ASH3;3960;3961;0.33;black;black;-0.5
ASH3;3962;3963;0.33;black;black;-0.5
ASH3;3964;3965;0.33;black;black;-0.5
ASH3;3966;3967;0.33;black;black;-0.5
ASH4;4027;4028;0.33;black;black;-0.5
ASH4;4029;4030;0.33;black;black;-0.5
ASH4;4031;4032;0.33;black;black;-0.5
ASH4;4033;4034;0.33;black;black;-0.5
ASH4;4035;4036;0.33;black;black;-0.5
ASH4;4037;4038;0.33;black;black;-0.5
ASH4;4039;4040;0.33;black;black;-0.5
ASH4;4041;4042;0.33;black;black;-0.5
ASH4;4043;4044;0.33;black;black;-0.5
ASH4;4045;4046;0.33;black;black;-0.5
ASH4;4047;4048;0.33;black;black;-0.5
ASH4;4049;4050;0.33;black;black;-0.5
ASH4;4051;4052;0.33;black;black;-0.5
ASH4;4053;4054;0.33;black;black;-0.5
ASH4;4055;4056;0.33;black;black;-0.5
ASH4;4057;4058;0.33;black;black;-0.5
ASH4;4059;4060;0.33;black;black;-0.5
ASH4;4061;4062;0.33;black;black;-0.5
ASH4;4063;4064;0.33;black;black;-0.5
ASH4;4065;4066;0.33;black;black;-0.5
ASH4;4067;4068;0.33;black;black;-0.5
ASH4;4069;4070;0.33;black;black;-0.5
ASH4;4071;4072;0.33;black;black;-0.5
ASH4;4073;4074;0.33;black;black;-0.5
ASH4;4075;4076;0.33;black;black;-0.5
ASH4;4077;4078;0.33;black;black;-0.5
ASH4;4079;4080;0.33;black;black;-0.5
ASH4;4081;4082;0.33;black;black;-0.5
ASH4;4083;4084;0.33;black;black;-0.5
ASH4;4085;4086;0.33;black;black;-0.5
ASH5;4146;4147;0.33;black;black;-0.5
ASH5;4148;4149;0.33;black;black;-0.5
ASH5;4150;4151;0.33;black;black;-0.5
ASH5;4152;4153;0.33;black;black;-0.5
ASH5;4154;4155;0.33;black;black;-0.5
ASH5;4156;4157;0.33;black;black;-0.5
ASH5;4158;4159;0.33;black;black;-0.5
ASH5;4160;4161;0.33;black;black;-0.5
ASH5;4162;4163;0.33;black;black;-0.5
ASH5;4164;4165;0.33;black;black;-0.5
ASH5;4166;4167;0.33;black;black;-0.5
ASH5;4168;4169;0.33;black;black;-0.5
ASH5;4170;4171;0.33;black;black;-0.5
ASH5;4172;4173;0.33;black;black;-0.5
ASH5;4174;4175;0.33;black;black;-0.5
ASH5;4176;4177;0.33;black;black;-0.5
ASH5;4178;4179;0.33;black;black;-0.5
ASH5;4180;4181;0.33;black;black;-0.5
ASH5;4182;4183;0.33;black;black;-0.5
ASH5;4184;4185;0.33;black;black;-0.5
ASH5;4186;4187;0.33;black;black;-0.5
ASH5;4188;4189;0.33;black;black;-0.5
ASH5;4190;4191;0.33;black;black;-0.5
ASH5;4192;4193;0.33;black;black;-0.5
ASH5;4194;4195;0.33;black;black;-0.5
ASH5;4196;4197;0.33;black;black;-0.5
ASH5;4198;4199;0.33;black;black;-0.5
ASH5;4200;4201;0.33;black;black;-0.5
ASH5;4202;4203;0.33;black;black;-0.5
ASH5;4204;4205;0.33;black;black;-0.5
